player_id,match_id,player_name,total_passes,total_shots,total_dribbles,total_interceptions,total_duels,total_fouls_won,total_ball_receipts,total_miscontrols,total_dispossessions,total_errors,total_pressures,total_fouls_committed,total_50-50s,total_clearances,total_dribbled_past,successful_passes,unsuccessful_passes,successful_dribbles,unsuccessful_dribbles,goal_assists,shot_assists,total_xg,goals_scored,unsuccessful_shots,duels_won,duels_lost,clearances,position_code,position,team,event_count
3053.0,3895074,Leroy Sané,50,2,5,0,2,2,52,1,1,0,12,1,0,0,1,35,15,2,3,0,2,0.11870924599999999,0,1,1,0,0,17.0,Right Wing,Bayern Munich,186
3053.0,3895232,Leroy Sané,57,1,5,0,2,1,69,1,3,0,20,3,0,0,0,46,11,3,2,0,2,0.08916859,0,1,1,1,0,18.0,Right Attacking Midfield,Bayern Munich,228
3117.0,3895292,Lucas Tousart,22,0,3,0,4,1,15,2,1,0,19,1,1,4,1,17,5,2,1,0,0,0.0,0,0,1,1,4,13.0,Right Center Midfield,Union Berlin,110
3176.0,3895158,Thomas Meunier,3,0,0,0,1,0,2,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0.0,0,0,0,0,0,7.0,Right Wing Back,Borussia Dortmund,11
3230.0,3895060,Alassane Pléa,46,1,2,0,4,2,56,5,2,0,13,1,0,0,0,33,13,0,2,0,True,0.023374189,0,1,1,0,0,21.0,Left Wing,Borussia Mönchengladbach,181
3428.0,3895348,Tomáš Koubek,34,0,0,0,0,0,18,0,0,1,0,0,0,0,0,24,10,0,0,0,0,0.0,0,0,0,0,0,1.0,Goalkeeper,Augsburg,102
3493.0,3895158,Emre Can,36,0,2,0,1,0,30,0,2,1,18,2,1,4,0,30,6,2,0,0,True,0.0,0,0,0,0,4,9.0,Right Defensive Midfield,Borussia Dortmund,141
3493.0,3895309,Emre Can,36,1,0,0,2,1,36,2,1,0,18,5,0,0,1,34,2,0,0,0,True,0.14243458,0,0,2,0,0,10.0,Center Defensive Midfield,Borussia Dortmund,138
3499.0,3895074,Jean-Eric Maxim Choupo-Moting,1,0,1,0,2,0,5,1,0,0,4,0,0,0,0,1,0,1,0,0,0,0.0,0,0,0,0,0,23.0,Center Forward,Bayern Munich,16
3499.0,3895232,Jean-Eric Maxim Choupo-Moting,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0.0,0,0,0,0,0,22.0,Right Center Forward,Bayern Munich,14
3500.0,3895052,Granit Xhaka,48,1,0,0,2,2,50,0,2,0,9,2,0,1,1,41,7,0,0,0,0,0.020733545,0,0,0,1,1,11.0,Left Defensive Midfield,Bayer Leverkusen,171
3500.0,3895060,Granit Xhaka,121,1,0,0,1,1,116,1,0,0,6,1,0,1,0,114,7,0,0,0,0,0.044252444,0,1,1,0,1,11.0,Left Defensive Midfield,Bayer Leverkusen,365
3500.0,3895067,Granit Xhaka,118,1,0,0,1,4,114,1,1,0,12,2,1,0,0,109,9,0,0,0,3,0.04052658,0,0,1,0,0,11.0,Left Defensive Midfield,Bayer Leverkusen,368
3500.0,3895074,Granit Xhaka,79,1,3,0,2,0,72,0,0,0,15,2,1,6,1,72,7,1,2,0,0,0.006139515,0,0,1,1,6,11.0,Left Defensive Midfield,Bayer Leverkusen,260
3500.0,3895086,Granit Xhaka,125,0,0,0,0,1,116,1,0,0,7,1,0,0,1,118,7,0,0,0,2,0.0,0,0,0,0,0,11.0,Left Defensive Midfield,Bayer Leverkusen,346
3500.0,3895095,Granit Xhaka,88,0,1,0,6,0,89,0,0,0,13,2,0,2,0,86,2,1,0,0,0,0.0,0,0,2,2,2,11.0,Left Defensive Midfield,Bayer Leverkusen,269
3500.0,3895107,Granit Xhaka,110,1,0,0,3,1,104,1,2,0,11,1,0,0,0,102,8,0,0,0,3,0.04141494,0,1,1,0,0,11.0,Left Defensive Midfield,Bayer Leverkusen,342
3500.0,3895113,Granit Xhaka,95,0,0,0,2,3,81,0,0,0,8,1,0,0,1,89,6,0,0,0,True,0.0,0,0,1,0,0,11.0,Left Defensive Midfield,Bayer Leverkusen,285
3500.0,3895121,Granit Xhaka,98,2,1,0,2,1,93,0,0,0,9,2,0,2,1,91,7,0,1,0,0,0.047940271,0,2,0,1,2,11.0,Left Defensive Midfield,Bayer Leverkusen,307
3500.0,3895134,Granit Xhaka,76,0,1,0,1,1,68,1,0,0,12,2,0,3,1,69,7,1,0,0,2,0.0,0,0,1,0,3,11.0,Left Defensive Midfield,Bayer Leverkusen,222
3500.0,3895139,Granit Xhaka,150,1,0,0,4,1,137,1,1,0,14,0,0,0,2,143,7,0,0,0,0,0.025693294,0,1,1,2,0,9.0,Right Defensive Midfield,Bayer Leverkusen,452
3500.0,3895153,Granit Xhaka,114,2,0,0,4,2,109,2,1,0,15,0,0,2,0,106,8,0,0,0,True,0.074052202,0,2,2,0,2,9.0,Right Defensive Midfield,Bayer Leverkusen,353
3500.0,3895158,Granit Xhaka,116,5,2,0,1,1,108,1,0,0,7,2,0,0,0,106,10,1,1,0,3,0.23102959100000003,0,4,0,0,0,9.0,Right Defensive Midfield,Bayer Leverkusen,354
3500.0,3895167,Granit Xhaka,71,1,1,0,4,1,65,1,1,0,12,1,0,2,1,65,6,1,0,0,2,0.04765752,0,0,2,1,2,9.0,Right Defensive Midfield,Bayer Leverkusen,238
3500.0,3895180,Granit Xhaka,115,1,1,0,1,1,106,0,2,0,13,0,0,1,0,110,5,0,1,0,0,0.024108738,0,1,1,0,1,9.0,Right Defensive Midfield,Bayer Leverkusen,333
3500.0,3895182,Granit Xhaka,108,0,0,0,4,3,98,2,6,0,11,0,3,2,0,95,13,0,0,0,0,0.0,0,0,1,0,2,9.0,Right Defensive Midfield,Bayer Leverkusen,342
3500.0,3895194,Granit Xhaka,122,3,1,0,1,3,117,1,2,0,5,0,0,0,0,114,8,0,1,0,3,0.10557464899999999,0,3,1,0,0,9.0,Right Defensive Midfield,Bayer Leverkusen,378
3500.0,3895202,Granit Xhaka,88,1,2,0,2,2,83,1,1,0,7,1,1,4,3,82,6,1,1,0,True,0.029031394,0,1,1,1,4,9.0,Right Defensive Midfield,Bayer Leverkusen,290
3500.0,3895210,Granit Xhaka,159,1,0,0,3,1,138,1,2,0,19,2,1,0,2,142,17,0,0,0,2,0.019440634,0,1,1,1,0,9.0,Right Defensive Midfield,Bayer Leverkusen,480
3500.0,3895220,Granit Xhaka,137,0,1,0,5,3,132,0,3,0,8,0,0,1,0,128,9,1,0,0,3,0.0,0,0,2,1,1,11.0,Left Defensive Midfield,Bayer Leverkusen,408
3500.0,3895232,Granit Xhaka,56,1,1,0,1,2,46,0,0,0,13,3,0,1,3,50,6,0,1,0,2,0.02057064,0,0,0,0,1,9.0,Right Defensive Midfield,Bayer Leverkusen,179
3500.0,3895244,Granit Xhaka,86,1,2,0,3,3,76,3,0,0,4,0,0,5,3,75,11,1,1,0,True,0.04768445,0,1,0,0,5,11.0,Left Defensive Midfield,Bayer Leverkusen,255
3500.0,3895250,Granit Xhaka,109,2,0,0,0,2,103,1,0,0,7,2,0,2,1,102,7,0,0,0,2,0.051734701,1,0,0,0,2,9.0,Right Defensive Midfield,Bayer Leverkusen,326
3500.0,3895258,Granit Xhaka,111,0,1,0,1,2,110,1,2,0,3,1,0,0,0,104,7,1,0,0,True,0.0,0,0,0,0,0,9.0,Right Defensive Midfield,Bayer Leverkusen,335
3500.0,3895266,Granit Xhaka,167,2,0,0,2,0,159,0,0,0,7,1,0,1,1,161,6,0,0,0,3,0.043321265,0,1,1,0,1,9.0,Right Defensive Midfield,Bayer Leverkusen,494
3500.0,3895275,Granit Xhaka,108,1,0,0,2,0,105,1,1,0,10,0,1,0,0,103,5,0,0,0,2,0.03647135,0,0,0,0,0,9.0,Right Defensive Midfield,Bayer Leverkusen,326
3500.0,3895286,Granit Xhaka,120,4,0,0,3,3,107,1,2,0,8,2,0,3,0,107,13,0,0,0,2,0.174235635,0,2,1,0,3,11.0,Left Defensive Midfield,Bayer Leverkusen,362
3500.0,3895292,Granit Xhaka,92,1,1,0,1,1,83,0,0,0,3,0,1,3,0,83,9,1,0,0,0,0.0423987,0,1,0,0,3,11.0,Left Defensive Midfield,Bayer Leverkusen,269
3500.0,3895302,Granit Xhaka,85,3,0,0,1,1,88,0,1,0,19,1,0,0,0,79,6,0,0,0,0,0.10285396799999999,1,2,0,1,0,9.0,Right Defensive Midfield,Bayer Leverkusen,286
3500.0,3895309,Granit Xhaka,67,0,0,0,3,1,68,0,1,0,9,1,0,1,1,61,6,0,0,0,0,0.0,0,0,2,0,1,9.0,Right Defensive Midfield,Bayer Leverkusen,209
3500.0,3895333,Granit Xhaka,43,2,0,0,2,1,46,1,1,0,10,1,0,2,1,38,5,0,0,0,0,0.057225591000000006,1,1,0,0,2,9.0,Right Defensive Midfield,Bayer Leverkusen,144
3500.0,3895340,Granit Xhaka,86,3,0,0,1,0,83,0,1,0,1,0,0,1,0,79,7,0,0,0,True,0.144107994,0,1,0,0,1,11.0,Left Defensive Midfield,Bayer Leverkusen,257
3500.0,3895348,Granit Xhaka,31,2,0,0,0,1,28,0,0,0,2,0,0,0,0,28,3,0,0,0,True,0.092719968,0,1,0,0,0,9.0,Right Defensive Midfield,Bayer Leverkusen,98
3676.0,3895139,Jérôme Roussillon,25,0,0,0,3,1,26,1,1,0,18,1,0,1,0,22,3,0,0,0,True,0.0,0,0,2,1,1,8.0,Left Wing Back,Union Berlin,101
3767.0,3895180,Ellyes Joris Skhiri,18,0,0,0,1,0,18,1,0,0,8,0,0,3,2,16,2,0,0,0,0,0.0,0,0,0,1,3,9.0,Right Defensive Midfield,Eintracht Frankfurt,68
3767.0,3895333,Ellyes Joris Skhiri,45,0,0,0,2,0,35,0,0,0,16,1,0,0,0,43,2,0,0,0,True,0.0,0,0,2,0,0,11.0,Left Defensive Midfield,Eintracht Frankfurt,134
3913.0,3895095,Edimilson Fernandes,65,1,1,0,3,0,46,0,1,0,11,1,0,1,0,57,8,1,0,0,2,0.011072776,0,1,1,0,1,5.0,Left Center Back,FSV Mainz 05,197
4381.0,3895095,Anwar El Ghazi,10,1,1,0,1,0,12,1,0,0,4,0,0,0,1,7,3,1,0,0,0,0.041664448,0,1,0,0,0,21.0,Left Wing,FSV Mainz 05,42
4440.0,3895180,Kevin Trapp,46,0,0,0,0,0,29,0,0,0,0,0,0,0,0,36,10,0,0,0,0,0.0,0,0,0,0,0,1.0,Goalkeeper,Eintracht Frankfurt,125
4440.0,3895333,Kevin Trapp,31,0,0,0,0,0,22,0,0,0,0,0,0,0,0,22,9,0,0,0,True,0.0,0,0,0,0,0,1.0,Goalkeeper,Eintracht Frankfurt,94
4682.0,3895194,Robert Gumny,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,8.0,Left Wing Back,Augsburg,8
5209.0,3895232,Raphaël Adelino José Guerreiro,9,0,0,0,0,0,12,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0.0,0,0,0,0,0,2.0,Right Back,Bayern Munich,31
5460.0,3895134,Andrej Kramarić,11,1,0,0,0,0,15,0,0,0,1,0,0,0,0,7,4,0,0,0,0,0.04776482,0,1,0,0,0,13.0,Right Center Midfield,Hoffenheim,37
5460.0,3895286,Andrej Kramarić,22,1,0,0,2,2,26,1,0,0,4,0,0,0,0,17,5,0,0,0,0,0.12478229,0,0,0,2,0,13.0,Right Center Midfield,Hoffenheim,86
5536.0,3895052,Yussuf Yurary Poulsen,5,2,0,0,0,2,14,1,0,0,5,0,1,1,0,5,0,0,0,0,0,0.314083646,0,0,0,0,1,18.0,Right Attacking Midfield,RB Leipzig,38
5536.0,3895202,Yussuf Yurary Poulsen,6,0,1,0,2,0,6,0,1,0,4,0,1,0,0,4,2,1,0,0,0,0.0,0,0,1,0,0,22.0,Right Center Forward,RB Leipzig,27
5555.0,3895158,Julian Brandt,37,2,0,0,4,0,45,3,1,0,25,0,0,3,3,30,7,0,0,0,0,0.0647908016,0,1,0,1,3,19.0,Center Attacking Midfield,Borussia Dortmund,161
5555.0,3895309,Julian Brandt,37,0,1,0,3,3,40,1,2,0,20,0,0,2,0,33,4,1,0,0,2,0.0,0,0,0,0,2,15.0,Left Center Midfield,Borussia Dortmund,147
5557.0,3895052,Timo Werner,16,1,2,0,3,0,33,1,4,0,12,1,0,0,0,8,8,0,2,0,2,0.042124372,0,1,0,0,0,16.0,Left Midfield,RB Leipzig,96
5559.0,3895158,Marco Reus,18,0,0,0,3,0,36,2,1,0,26,1,0,0,2,12,6,0,0,0,0,0.0,0,0,1,1,0,17.0,Right Wing,Borussia Dortmund,113
5559.0,3895309,Marco Reus,7,0,0,0,1,0,13,0,1,0,14,2,0,1,0,4,3,0,0,0,0,0.0,0,0,1,0,1,16.0,Left Midfield,Borussia Dortmund,42
5562.0,3895074,Thomas Müller,26,1,0,0,6,1,37,2,1,0,20,1,0,1,0,22,4,0,0,0,True,0.101909965,0,0,1,3,1,19.0,Center Attacking Midfield,Bayern Munich,109
5562.0,3895232,Thomas Müller,24,0,1,0,1,0,24,0,0,0,3,0,0,0,0,21,3,1,0,0,True,0.0,0,0,0,1,0,22.0,Right Center Forward,Bayern Munich,78
5570.0,3895232,Manuel Neuer,36,0,0,0,1,0,19,0,0,0,0,0,0,0,0,26,10,0,0,0,0,0.0,0,0,0,0,0,1.0,Goalkeeper,Bayern Munich,101
