player_name,team,position,actual_rating,predicted_rating,rating_difference
Karim Onisiwo,FSV Mainz 05,Forward,2.369464977971421,2.6582856740737784,0.2888206961023574
Nicolas Seiwald,RB Leipzig,Midfielder,2.6357068595112243,2.6402239849915095,0.004517125480285156
Milos Veljkovic,Werder Bremen,Defender,2.571421326352414,2.618117060303023,0.046695733950608886
Florian Neuhaus,Borussia Mönchengladbach,Midfielder,2.619198232163341,2.6142959224562783,-0.004902309707062624
Niklas Dorsch,Augsburg,Midfielder,2.624931726318284,2.604106199195245,-0.020825527123038867
Eric Junior Dina Ebimbe,Eintracht Frankfurt,Midfielder,2.730240860492442,2.603611552309857,-0.1266293081825851
Leroy Sané,Bayern Munich,Forward,2.6242692365677893,2.601011491230115,-0.02325774533767433
David Raum,RB Leipzig,Defender,2.4123643370935017,2.572028367240931,0.15966403014742925
Willian Joel Pacho Tenorio,Eintracht Frankfurt,Defender,2.480080880084577,2.520022454153237,0.039941574068659946
Aïssa Bilal Laïdouni,Union Berlin,Midfielder,2.4291811501356526,2.4970725453294236,0.06789139519377096
Piero Martín Hincapié Reyna,Bayer Leverkusen,Defender,2.4301547548757245,2.4951711516735733,0.06501639679784876
Arne Maier,Augsburg,Midfielder,2.5535274150607865,2.4916244970131207,-0.06190291804766579
Sacha Boey,Bayern Munich,Defender,2.4376733097315015,2.4865367222009405,0.04886341246943893
Robin Koch,Eintracht Frankfurt,Defender,2.432246460750866,2.483890298438758,0.051643837687891825
Hugo Larsson,Eintracht Frankfurt,Midfielder,2.4103761247277653,2.472968614726747,0.06259248999898182
Eren Sami Dinkçi,FC Heidenheim,Midfielder,2.21089215069888,2.4677513413372547,0.2568591906383748
Jan-Niklas Beste,FC Heidenheim,Midfielder,2.2413780736401714,2.466922904188524,0.2255448305483525
Jamie Jermaine Bynoe-Gittens,Borussia Dortmund,Midfielder,2.3631506037550434,2.466322560162671,0.10317195640762744
Chris Führich,VfB Stuttgart,Midfielder,2.619670847314793,2.4624963724520637,-0.1571744748627295
Aurélio Gabriel Ulineia Buta,Eintracht Frankfurt,Defender,2.082689855200849,2.4576488250401707,0.37495896983932164
Jamal Musiala,Bayern Munich,Midfielder,2.438700713858843,2.453487187127356,0.01478647326851279
Thomas Müller,Bayern Munich,Midfielder,2.647175925105391,2.446595069966942,-0.20058085513844892
Julián Malatini,Werder Bremen,Defender,2.096275069483644,2.4431435655767366,0.34686849609309256
Fares Chaïbi,Eintracht Frankfurt,Midfielder,2.1823780008412186,2.4079771456687613,0.22559914482754273
Fabian Holland,Darmstadt 98,Midfielder,2.4673715458788754,2.402933769869546,-0.06443777600932954
Ellyes Joris Skhiri,Eintracht Frankfurt,Midfielder,2.2871069580521084,2.397215913578593,0.11010895552648448
Jan Schöppner,FC Heidenheim,Midfielder,2.355368915942391,2.393825363332044,0.038456447389652926
Jeremie Frimpong,Bayer Leverkusen,Forward,2.5333307660421864,2.3852948553066975,-0.14803591073548894
Niclas Füllkrug,Borussia Dortmund,Forward,2.1803681369223478,2.3432439385725066,0.1628758016501588
Daniel Olmo Carvajal,RB Leipzig,Midfielder,2.3831377924006247,2.3345598053504215,-0.04857798705020322
Patrick Osterhage,Bochum,Midfielder,2.335895893594814,2.33084872424665,-0.005047169348164182
